,AF,education,marital-status,occupation,race,sex,workclass
 10th,,933.0,,,,,
 11th,,1175.0,,,,,
 12th,,433.0,,,,,
 1st-4th,,168.0,,,,,
 5th-6th,,333.0,,,,,
 7th-8th,,646.0,,,,,
 9th,,514.0,,,,,
 ?,,,,1843.0,,,1836.0
 Adm-clerical,,,,3770.0,,,
 Amer-Indian-Eskimo,,,,,311.0,,
 Armed-Forces,,,,9.0,,,
 Asian-Pac-Islander,,,,,1039.0,,
 Assoc-acdm,,1067.0,,,,,
 Assoc-voc,,1382.0,,,,,
 Bachelors,,5355.0,,,,,
 Black,,,,,3124.0,,
 Craft-repair,,,,4099.0,,,
 Divorced,,,4443.0,,,,
 Doctorate,,413.0,,,,,
 Exec-managerial,,,,4066.0,,,
 Farming-fishing,,,,994.0,,,
 Federal-gov,,,,,,,960.0
 Female,,,,,,10771.0,
 HS-grad,,10501.0,,,,,
 Handlers-cleaners,,,,1370.0,,,
 Husband,13193.0,,,,,,
 Local-gov,,,,,,,2093.0
 Machine-op-inspct,,,,2002.0,,,
 Male,,,,,,21790.0,
 Married-AF-spouse,,,23.0,,,,
 Married-civ-spouse,,,14976.0,,,,
 Married-spouse-absent,,,418.0,,,,
 Masters,,1723.0,,,,,
 Never-married,,,10683.0,,,,
 Never-worked,,,,,,,7.0
 Not-in-family,8305.0,,,,,,
 Other,,,,,271.0,,
 Other-relative,981.0,,,,,,
 Other-service,,,,3295.0,,,
 Own-child,5068.0,,,,,,
 Preschool,,51.0,,,,,
 Priv-house-serv,,,,149.0,,,
 Private,,,,,,,22696.0
 Prof-school,,576.0,,,,,
 Prof-specialty,,,,4140.0,,,
 Protective-serv,,,,649.0,,,
 Sales,,,,3650.0,,,
 Self-emp-inc,,,,,,,1116.0
 Self-emp-not-inc,,,,,,,2541.0
 Separated,,,1025.0,,,,
 Some-college,,7291.0,,,,,
 State-gov,,,,,,,1298.0
 Tech-support,,,,928.0,,,
 Transport-moving,,,,1597.0,,,
 Unmarried,3446.0,,,,,,
 White,,,,,27816.0,,
 Widowed,,,993.0,,,,
 Wife,1568.0,,,,,,
 Without-pay,,,,,,,14.0
